patch_id,nuclei_template_id,cwe_cve_mapping,vulnerable_syntax_token_sequence,recommended_replacement_patch_diff,operational_remediation_explanation
PATCH-0225,nuclei-cwe-942-template,CWE-942 / CVE-2023-7411,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0226,nuclei-cwe-942-template,CWE-942 / CVE-2023-1454,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0227,nuclei-cwe-693-template,CWE-693 / CVE-2023-9432,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0228,nuclei-cwe-319-template,CWE-319 / N/A,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0229,nuclei-cwe-693-template,CWE-693 / N/A,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0230,nuclei-cwe-200-template,CWE-200 / CVE-2023-5257,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0231,nuclei-cwe-693-template,CWE-693 / CVE-2023-4805,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0232,nuclei-cwe-319-template,CWE-319 / CVE-2023-3082,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0233,nuclei-cwe-942-template,CWE-942 / CVE-2023-4946,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0234,nuclei-cwe-200-template,CWE-200 / CVE-2023-7656,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0235,nuclei-cwe-200-template,CWE-200 / CVE-2023-4130,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0236,nuclei-cwe-319-template,CWE-319 / CVE-2023-6516,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0237,nuclei-cwe-319-template,CWE-319 / CVE-2023-4222,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0238,nuclei-cwe-942-template,CWE-942 / CVE-2023-6604,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0239,nuclei-cwe-693-template,CWE-693 / CVE-2023-7798,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0240,nuclei-cwe-548-template,CWE-548 / CVE-2023-2144,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0241,nuclei-cwe-942-template,CWE-942 / CVE-2023-3288,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0242,nuclei-cwe-942-template,CWE-942 / N/A,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0243,nuclei-cwe-319-template,CWE-319 / N/A,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0244,nuclei-cwe-942-template,CWE-942 / CVE-2023-1092,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0245,nuclei-cwe-693-template,CWE-693 / CVE-2023-8961,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0246,nuclei-cwe-942-template,CWE-942 / N/A,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0247,nuclei-cwe-942-template,CWE-942 / N/A,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0248,nuclei-cwe-548-template,CWE-548 / CVE-2023-7235,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0249,nuclei-cwe-548-template,CWE-548 / CVE-2023-5173,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0250,nuclei-cwe-200-template,CWE-200 / N/A,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0251,nuclei-cwe-319-template,CWE-319 / CVE-2023-7440,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0252,nuclei-cwe-319-template,CWE-319 / CVE-2023-1492,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0253,nuclei-cwe-548-template,CWE-548 / N/A,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0254,nuclei-cwe-200-template,CWE-200 / CVE-2023-4151,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0255,nuclei-cwe-548-template,CWE-548 / CVE-2023-1006,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0256,nuclei-cwe-942-template,CWE-942 / CVE-2023-5322,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0257,nuclei-cwe-942-template,CWE-942 / CVE-2023-5973,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0258,nuclei-cwe-319-template,CWE-319 / N/A,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0259,nuclei-cwe-319-template,CWE-319 / N/A,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0260,nuclei-cwe-319-template,CWE-319 / N/A,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0261,nuclei-cwe-200-template,CWE-200 / CVE-2023-7046,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0262,nuclei-cwe-319-template,CWE-319 / CVE-2023-9268,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0263,nuclei-cwe-548-template,CWE-548 / N/A,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0264,nuclei-cwe-942-template,CWE-942 / N/A,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0265,nuclei-cwe-942-template,CWE-942 / N/A,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0266,nuclei-cwe-319-template,CWE-319 / N/A,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0267,nuclei-cwe-200-template,CWE-200 / N/A,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0268,nuclei-cwe-319-template,CWE-319 / CVE-2023-4242,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0269,nuclei-cwe-319-template,CWE-319 / CVE-2023-9681,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0270,nuclei-cwe-548-template,CWE-548 / CVE-2023-3293,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0271,nuclei-cwe-548-template,CWE-548 / N/A,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0272,nuclei-cwe-548-template,CWE-548 / CVE-2023-9717,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0273,nuclei-cwe-693-template,CWE-693 / N/A,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0274,nuclei-cwe-548-template,CWE-548 / CVE-2023-8831,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0275,nuclei-cwe-200-template,CWE-200 / N/A,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0276,nuclei-cwe-319-template,CWE-319 / N/A,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0277,nuclei-cwe-200-template,CWE-200 / CVE-2023-2762,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0278,nuclei-cwe-319-template,CWE-319 / CVE-2023-8881,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0279,nuclei-cwe-200-template,CWE-200 / CVE-2023-7704,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0280,nuclei-cwe-942-template,CWE-942 / CVE-2023-4875,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0281,nuclei-cwe-693-template,CWE-693 / CVE-2023-1834,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0282,nuclei-cwe-693-template,CWE-693 / N/A,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0283,nuclei-cwe-548-template,CWE-548 / CVE-2023-3993,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0284,nuclei-cwe-319-template,CWE-319 / CVE-2023-6548,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0285,nuclei-cwe-319-template,CWE-319 / CVE-2023-4501,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0286,nuclei-cwe-942-template,CWE-942 / N/A,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0287,nuclei-cwe-548-template,CWE-548 / CVE-2023-9074,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0288,nuclei-cwe-200-template,CWE-200 / N/A,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0289,nuclei-cwe-548-template,CWE-548 / CVE-2023-9291,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0290,nuclei-cwe-548-template,CWE-548 / CVE-2023-9702,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0291,nuclei-cwe-200-template,CWE-200 / CVE-2023-6059,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0292,nuclei-cwe-548-template,CWE-548 / N/A,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0293,nuclei-cwe-319-template,CWE-319 / CVE-2023-7219,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0294,nuclei-cwe-200-template,CWE-200 / N/A,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0295,nuclei-cwe-200-template,CWE-200 / N/A,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0296,nuclei-cwe-942-template,CWE-942 / CVE-2023-9531,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0297,nuclei-cwe-319-template,CWE-319 / CVE-2023-8539,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0298,nuclei-cwe-693-template,CWE-693 / CVE-2023-5026,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0299,nuclei-cwe-942-template,CWE-942 / CVE-2023-8443,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0300,nuclei-cwe-942-template,CWE-942 / CVE-2023-3319,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0301,nuclei-cwe-942-template,CWE-942 / N/A,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0302,nuclei-cwe-693-template,CWE-693 / CVE-2023-3151,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0303,nuclei-cwe-319-template,CWE-319 / CVE-2023-8107,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0304,nuclei-cwe-942-template,CWE-942 / CVE-2023-6761,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0305,nuclei-cwe-548-template,CWE-548 / CVE-2023-2447,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0306,nuclei-cwe-319-template,CWE-319 / N/A,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0307,nuclei-cwe-319-template,CWE-319 / N/A,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0308,nuclei-cwe-319-template,CWE-319 / N/A,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0309,nuclei-cwe-548-template,CWE-548 / CVE-2023-9321,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0310,nuclei-cwe-200-template,CWE-200 / CVE-2023-5661,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0311,nuclei-cwe-942-template,CWE-942 / N/A,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0312,nuclei-cwe-548-template,CWE-548 / CVE-2023-8011,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0313,nuclei-cwe-200-template,CWE-200 / N/A,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0314,nuclei-cwe-200-template,CWE-200 / N/A,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0315,nuclei-cwe-693-template,CWE-693 / CVE-2023-2856,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0316,nuclei-cwe-942-template,CWE-942 / N/A,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0317,nuclei-cwe-200-template,CWE-200 / N/A,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0318,nuclei-cwe-200-template,CWE-200 / CVE-2023-5136,Server: Apache/2.4.41 (Ubuntu),"- Server: Apache/2.4.41 (Ubuntu)
+ Server: Apache",Removed verbose server version information from the Server header to thwart targeted automated attacks.
PATCH-0319,nuclei-cwe-693-template,CWE-693 / CVE-2023-5398,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0320,nuclei-cwe-693-template,CWE-693 / N/A,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0321,nuclei-cwe-319-template,CWE-319 / N/A,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0322,nuclei-cwe-693-template,CWE-693 / CVE-2023-5264,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0323,nuclei-cwe-942-template,CWE-942 / N/A,Access-Control-Allow-Origin: *,"- Access-Control-Allow-Origin: *
+ Access-Control-Allow-Origin: https://trusted-domain.com",Restricted CORS origin to a specific trusted domain instead of a wildcard to prevent unauthorized cross-origin resource access.
PATCH-0324,nuclei-cwe-693-template,CWE-693 / CVE-2023-1434,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
PATCH-0325,nuclei-cwe-319-template,CWE-319 / N/A,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0326,nuclei-cwe-548-template,CWE-548 / CVE-2023-6893,"location /.git {
    autoindex on;
}","- autoindex on;
+ deny all;",Disabled directory listing and denied access to the .git directory to prevent source code and configuration exposure.
PATCH-0327,nuclei-cwe-319-template,CWE-319 / CVE-2023-4887,Strict-Transport-Security: max-age=0,"- Strict-Transport-Security: max-age=0
+ Strict-Transport-Security: max-age=31536000; includeSubDomains; preload",Enforced HTTP Strict Transport Security (HSTS) to ensure all communications are encrypted over HTTPS.
PATCH-0328,nuclei-cwe-693-template,CWE-693 / N/A,"HTTP/1.1 200 OK
Server: nginx
Content-Type: text/html",+ Content-Security-Policy: default-src 'self'; script-src 'self' 'nonce-random123'; object-src 'none',Added Content-Security-Policy header to mitigate XSS vulnerabilities by restricting the sources of executable scripts.
